ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,5,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,10,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,15,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,20,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,25,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,30,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,35,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,40,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,45,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,50,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,55,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,60,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,65,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,70,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,75,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,80,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,85,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,90,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,90,25,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,5,32.5,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,10,32.5,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,15,32.5,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,20,32.5,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,25,32.5,0
61,0,9,21.5,2.5,0,0.2,0.2,0.05,0.2,0.2,0,1.8,1.8,30,32.5,0
