ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,5,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,10,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,15,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,20,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,25,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,30,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,35,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,40,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,45,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,50,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,55,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,60,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,65,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,70,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,75,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,80,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,85,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,90,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,90,25,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,5,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,10,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,15,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,20,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,25,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,30,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,35,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,40,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,45,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,50,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,55,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,60,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,65,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,70,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,75,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,80,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,85,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,90,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,90,32.5,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,5,50,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,10,50,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,15,50,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,20,50,0
65,0.2,28.5,1.5,1.5,3,3,0.1,0.01,0.5,0,0,0,0,25,50,0
